Run	Experiment	Platform	LibraryName	LibraryLayout	Sample	ScientificName	SampleName
SRR031728	SRX014464	ILLUMINA	S2_DRSC_Untreated-6	SINGLE	SRS008452	Drosophila melanogaster	GSM461182
SRR031729	SRX014464	ILLUMINA	S2_DRSC_Untreated-6	SINGLE	SRS008452	Drosophila melanogaster	GSM461182
SRR031730	SRX014465	ILLUMINA	S2_DRSC_CG6946_RNAi-1	SINGLE	SRS008453	Drosophila melanogaster	GSM461183
SRR031731	SRX014465	ILLUMINA	S2_DRSC_CG6946_RNAi-1	SINGLE	SRS008453	Drosophila melanogaster	GSM461183
SRR031732	SRX014466	ILLUMINA	S2_DRSC_CG9373_RNAi-1	SINGLE	SRS008454	Drosophila melanogaster	GSM461184
SRR031733	SRX014466	ILLUMINA	S2_DRSC_CG9373_RNAi-1	SINGLE	SRS008454	Drosophila melanogaster	GSM461184
SRR031734	SRX014467	ILLUMINA	S2_DRSC_CG5099_RNAi-1	SINGLE	SRS008455	Drosophila melanogaster	GSM461185
SRR031735	SRX014467	ILLUMINA	S2_DRSC_CG5099_RNAi-1	SINGLE	SRS008455	Drosophila melanogaster	GSM461185
SRR031736	SRX014468	ILLUMINA	S2_DRSC_CG9983_RNAi-1	SINGLE	SRS008456	Drosophila melanogaster	GSM461186
SRR031737	SRX014468	ILLUMINA	S2_DRSC_CG9983_RNAi-1	SINGLE	SRS008456	Drosophila melanogaster	GSM461186
SRR031738	SRX014469	ILLUMINA	S2_DRSC_CG12749_RNAi-1	SINGLE	SRS008457	Drosophila melanogaster	GSM461187
SRR031739	SRX014469	ILLUMINA	S2_DRSC_CG12749_RNAi-1	SINGLE	SRS008457	Drosophila melanogaster	GSM461187
SRR031740	SRX014470	ILLUMINA	S2_DRSC_CG17838_RNAi-1	SINGLE	SRS008458	Drosophila melanogaster	GSM461188
SRR031741	SRX014470	ILLUMINA	S2_DRSC_CG17838_RNAi-1	SINGLE	SRS008458	Drosophila melanogaster	GSM461188
SRR031742	SRX014471	ILLUMINA	S2_DRSC_CG16901_RNAi-1	SINGLE	SRS008459	Drosophila melanogaster	GSM461189
SRR031743	SRX014471	ILLUMINA	S2_DRSC_CG16901_RNAi-1	SINGLE	SRS008459	Drosophila melanogaster	GSM461189
SRR031744	SRX014472	ILLUMINA	S2_DRSC_CG13425_RNAi-1	SINGLE	SRS008460	Drosophila melanogaster	GSM461190
SRR031745	SRX014472	ILLUMINA	S2_DRSC_CG13425_RNAi-1	SINGLE	SRS008460	Drosophila melanogaster	GSM461190
SRR074420	SRX014472	ILLUMINA	S2_DRSC_CG13425_RNAi-1	SINGLE	SRS008460	Drosophila melanogaster	GSM461190
SRR031746	SRX014473	ILLUMINA	S2_DRSC_CG30122_RNAi-1	SINGLE	SRS008461	Drosophila melanogaster	GSM461191
SRR031747	SRX014473	ILLUMINA	S2_DRSC_CG30122_RNAi-1	SINGLE	SRS008461	Drosophila melanogaster	GSM461191
SRR031748	SRX014474	ILLUMINA	S2_DRSC_CG4602_RNAi-1	SINGLE	SRS008462	Drosophila melanogaster	GSM461192
SRR031749	SRX014474	ILLUMINA	S2_DRSC_CG4602_RNAi-1	SINGLE	SRS008462	Drosophila melanogaster	GSM461192
SRR031750	SRX014475	ILLUMINA	S2_DRSC_CG5655_RNAi-1	SINGLE	SRS008463	Drosophila melanogaster	GSM461193
SRR031751	SRX014475	ILLUMINA	S2_DRSC_CG5655_RNAi-1	SINGLE	SRS008463	Drosophila melanogaster	GSM461193
SRR074421	SRX014475	ILLUMINA	S2_DRSC_CG5655_RNAi-1	SINGLE	SRS008463	Drosophila melanogaster	GSM461193
SRR031752	SRX014476	ILLUMINA	S2_DRSC_CG1987_RNAi-1	SINGLE	SRS008464	Drosophila melanogaster	GSM461194
SRR031753	SRX014476	ILLUMINA	S2_DRSC_CG1987_RNAi-1	SINGLE	SRS008464	Drosophila melanogaster	GSM461194
SRR013547	SRX002618	ILLUMINA	S2R+ (biological replicate 1)	SINGLE	SRS002123	Drosophila melanogaster	S2R  (biological replicate 1)
SRR013548	SRX002619	ILLUMINA	S2R+ (biological replicate 2)	SINGLE	SRS002124	Drosophila melanogaster	S2R  (biological replicate 2)
SRR014367	SRX003183	ILLUMINA	Small RNA from 12-24hr embryo	SINGLE	SRS002320	Drosophila melanogaster	Small RNA from 12-24hr embryo
SRR013601	SRX002668	ILLUMINA	small RNA from 2-4 day old pupae (1)	SINGLE	SRS002173	Drosophila melanogaster	small RNA from 2-4 day old pupae (1)
SRR013603	SRX002670	ILLUMINA	small RNA from 2-4 day old pupae (2)	SINGLE	SRS002175	Drosophila melanogaster	small RNA from 2-4 day old pupae (2)
SRR013600	SRX002667	ILLUMINA	small RNA from 3rd instar larvae (1)	SINGLE	SRS002172	Drosophila melanogaster	small RNA from 3rd instar larvae (1)
SRR013602	SRX002669	ILLUMINA	small RNA from 3rd instar larvae (2)	SINGLE	SRS002174	Drosophila melanogaster	small RNA from 3rd instar larvae (2)
SRR013604	SRX002671	ILLUMINA	small RNAs from adult female head	SINGLE	SRS002176	Drosophila melanogaster	small RNAs from adult female head
SRR013618	SRX002678	ILLUMINA	Drosophila melanogaster S2-GMR	SINGLE	SRS002182	Drosophila melanogaster	Drosophila melanogaster S2-GMR
SRR014393	SRX003192	ILLUMINA	whole_fly_rp_rep1	SINGLE	SRS002239	Drosophila melanogaster	whole_fly_rp_rep1
