Run	Experiment	Platform	LibraryName	LibraryLayout	Sample	ScientificName	SampleName
SRR074430	SRX032508	ILLUMINA	GSM627335: S2-DRSC-CG10128-RNAi-2	SINGLE	SRS140125	Drosophila melanogaster	GSM627335
SRR074431	SRX032508	ILLUMINA	GSM627335: S2-DRSC-CG10128-RNAi-2	SINGLE	SRS140125	Drosophila melanogaster	GSM627335
SRR074432	SRX032508	ILLUMINA	GSM627335: S2-DRSC-CG10128-RNAi-2	SINGLE	SRS140125	Drosophila melanogaster	GSM627335
SRR074433	SRX032509	ILLUMINA	GSM627336: S2-DRSC-CG10203-RNAi-2	SINGLE	SRS140126	Drosophila melanogaster	GSM627336
SRR039433	SRX018864	ILLUMINA	GSM509821: Head_Dmel_Female (GA II)	SINGLE	SRS058934	Drosophila melanogaster	GSM509821
SRR039434	SRX018864	ILLUMINA	GSM509821: Head_Dmel_Female (GA II)	SINGLE	SRS058934	Drosophila melanogaster	GSM509821
SRR039435	SRX018864	ILLUMINA	GSM509821: Head_Dmel_Female (GA II)	SINGLE	SRS058934	Drosophila melanogaster	GSM509821
SRR039436	SRX018865	ILLUMINA	GSM509822: Head_Dmel_Male (GA II)	SINGLE	SRS058935	Drosophila melanogaster	GSM509822
SRR039437	SRX018865	ILLUMINA	GSM509822: Head_Dmel_Male (GA II)	SINGLE	SRS058935	Drosophila melanogaster	GSM509822
SRR039438	SRX018865	ILLUMINA	GSM509822: Head_Dmel_Male (GA II)	SINGLE	SRS058935	Drosophila melanogaster	GSM509822
SRR039439	SRX018866	ILLUMINA	GSM515636: Head_Dmel_Female (GA I)	SINGLE	SRS058936	Drosophila melanogaster	GSM515636
SRR039440	SRX018866	ILLUMINA	GSM515636: Head_Dmel_Female (GA I)	SINGLE	SRS058936	Drosophila melanogaster	GSM515636
SRR039441	SRX018866	ILLUMINA	GSM515636: Head_Dmel_Female (GA I)	SINGLE	SRS058936	Drosophila melanogaster	GSM515636
SRR039442	SRX018866	ILLUMINA	GSM515636: Head_Dmel_Female (GA I)	SINGLE	SRS058936	Drosophila melanogaster	GSM515636
SRR039443	SRX018866	ILLUMINA	GSM515636: Head_Dmel_Female (GA I)	SINGLE	SRS058936	Drosophila melanogaster	GSM515636
SRR039444	SRX018866	ILLUMINA	GSM515636: Head_Dmel_Female (GA I)	SINGLE	SRS058936	Drosophila melanogaster	GSM515636
SRR039445	SRX018866	ILLUMINA	GSM515636: Head_Dmel_Female (GA I)	SINGLE	SRS058936	Drosophila melanogaster	GSM515636
SRR039446	SRX018867	ILLUMINA	GSM515637: Head_Dmel_Male (GA I)	SINGLE	SRS058937	Drosophila melanogaster	GSM515637
